"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000172352","CDY1B","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","1.81 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.13 - medulla oblongata","0.00 - choroid plexus","Not detected","","Not detected","0.13 - medulla oblongata","0.00 - retrosplenial cortex","Not detected","","Not detected","0.13 - motor hypoglossal nucleus","0.00 - angular gyrus (white matter)",NA
"ENSG00000183795","BPY2B","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","1.18 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.08 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.08 - pons","0.00 - epithalamus","Not detected","","Not detected","0.08 - paramedian reticular nucleus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000172288","CDY1","Enzymes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","1.32 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.09 - medulla oblongata","0.00 - choroid plexus","Not detected","","Not detected","0.09 - medulla oblongata","0.00 - retrosplenial cortex","Not detected","","Not detected","0.09 - area postrema","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000233803","TSPY4","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","31.84 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.08 - cerebral cortex","0.01 - choroid plexus","Not detected","","Not detected","0.08 - frontal cortex","0.01 - mammillary body","Not detected","","Not detected","0.08 - precentral gyrus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000226941","RBMY1J","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","1.43 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.03 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.03 - pons","0.00 - epithalamus","Not detected","","Not detected","0.03 - lateral vestibular nucleus","0.00 - angular gyrus (white matter)",NA
"ENSG00000238074","TSPY9","Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","14.58 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.01 - cerebral cortex","0.00 - choroid plexus","Not detected","","Not detected","0.01 - temporal cortex","0.00 - choroid plexus","Not detected","","Not detected","0.01 - transversal temporal gyrus, anterior","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000242875","RBMY1B","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Not detected","","Not detected","0.27 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.02 - pons","0.00 - basal ganglia","Not detected","","Not detected","0.02 - pons","0.00 - basal forebrain","Not detected","","Not detected","0.02 - dorsolateral tegmental area","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000234414","RBMY1A1","Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","8.31 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.03 - midbrain","0.00 - amygdala","Not detected","","Not detected","0.03 - tectum","0.00 - retrosplenial cortex","Not detected","","Not detected","0.03 - inferior colliculus","0.00 - angular gyrus (white matter)",NA
"ENSG00000260861","ENSG00000260861","Predicted intracellular proteins","Tissue enhanced","bone marrow;brain;lymphoid tissue;testis","Detected in some","3.28 - testis","0.00 - choroid plexus","Low tissue specificity","","Detected in some","1.46 - thalamus","0.33 - choroid plexus","Low tissue specificity","","Detected in some","1.46 - dorsal thalamus","0.24 - claustrum","Low tissue specificity","","Detected in some","1.46 - anterior thalamic nucleus, ventral","0.00 - median raphe nucleus",NA
"ENSG00000171873","ADRA1D","FDA approved drug targets;G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted membrane proteins","Tissue enhanced","brain;cervix","Detected in many","7.02 - cervix","0.01 - bone marrow","Low tissue specificity","","Detected in all","23.21 - thalamus","1.09 - choroid plexus","Low tissue specificity","","Detected in many","23.21 - dorsal thalamus","0.65 - cerebellum","Tissue enhanced","habenula;hippocampus, CA1;pulvinar;ventral posteromedial thalamic nucleus","Detected in many","23.21 - ventral posteromedial thalamic nucleus","0.52 - flocculonodular lobe",NA
"ENSG00000101282","RSPO4","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Tissue enhanced","brain;lung","Detected in some","12.24 - lung","0.01 - bone marrow","Low tissue specificity","","Detected in all","26.74 - pons","1.29 - choroid plexus","Low tissue specificity","","Detected in many","26.74 - pons","0.64 - cerebellum","Low tissue specificity","","Detected in many","26.74 - nucleus raphe magnus","0.46 - cerebellar cortex",NA
"ENSG00000125903","DEFB129","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Tissue enriched","epididymis","Detected in some","1895.42 - epididymis","0.00 - choroid plexus","Not detected","","Not detected","0.03 - cerebral cortex","0.00 - choroid plexus","Not detected","","Not detected","0.03 - paleocortex","0.00 - retrosplenial cortex","Not detected","","Not detected","0.03 - piriform cortex","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000101280","ANGPT4","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins;Protein evidence (Kim et al 2014);RAS pathway related proteins","Tissue enhanced","adipose tissue;breast","Detected in many","6.99 - adipose tissue","0.06 - choroid plexus","Low tissue specificity","","Detected in many","1.50 - hypothalamus","0.67 - choroid plexus","Low tissue specificity","","Detected in many","1.50 - tuberal hypothalamus","0.67 - cerebellar nucleus","Low tissue specificity","","Detected in many","1.50 - ventromedial nucleus","0.67 - cerebellar nuclei",NA
"ENSG00000089012","SIRPG","CD markers;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enriched","lymphoid tissue","Detected in some","38.07 - lymphoid tissue","0.03 - skeletal muscle","Not detected","","Not detected","0.53 - cerebral cortex","0.10 - cerebellum","Not detected","","Not detected","0.53 - parietal cortex","0.06 - cerebellar white matter","Not detected","","Not detected","0.53 - paracentral lobule, posterior","0.00 - paraventricular nucleus",NA
"ENSG00000171984","SHLD1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Low tissue specificity","","Detected in all","16.54 - bone marrow","2.38 - parathyroid gland","Low tissue specificity","","Detected in all","13.88 - cerebellum","8.63 - hippocampal formation","Low tissue specificity","","Detected in all","13.88 - cerebellum","7.90 - claustrum","Low tissue specificity","","Detected in all","13.88 - vermis","7.37 - postcentral gyrus",NA
"ENSG00000125827","TMX4","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","63.04 - testis","7.93 - skin 1","Low tissue specificity","","Detected in all","138.62 - hypothalamus","54.19 - hippocampal formation","Low tissue specificity","","Detected in all","138.62 - tuberal hypothalamus","34.18 - cerebellar white matter","Low tissue specificity","","Detected in all","138.62 - arcuate nucleus","32.40 - parieto-temporal junction (white matter)",NA
"ENSG00000149346","SLX4IP","Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in many","5.21 - retina","0.82 - tongue","Low tissue specificity","","Detected in all","8.48 - white matter","5.86 - hippocampal formation","Low tissue specificity","","Detected in all","8.48 - cortical white matter","4.77 - retrosplenial cortex","Low tissue specificity","","Detected in all","8.48 - parieto-temporal junction (white matter)","4.57 - precentral gyrus",NA
"ENSG00000178591","DEFB125","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Group enriched","epididymis;seminal vesicle","Detected in some","1.51 - epididymis","0.00 - choroid plexus","Not detected","","Not detected","0.03 - hippocampal formation","0.00 - choroid plexus","Not detected","","Not detected","0.03 - hippocampal formation","0.00 - mammillary body","Not detected","","Not detected","0.03 - hippocampus, CA1","0.00 - angular gyrus (white matter)",NA
"ENSG00000125820","NKX2-2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Transcription factors;Transcription factors predicted","Tissue enriched","brain","Detected in some","41.94 - brain","0.00 - tongue","Low tissue specificity","","Detected in all","77.57 - white matter","2.13 - choroid plexus","Low tissue specificity","","Detected in all","77.57 - cortical white matter","2.13 - choroid plexus","Low tissue specificity","","Detected in all","77.57 - parieto-temporal junction (white matter)","2.13 - choroid plexus",NA
"ENSG00000125845","BMP2","Cancer-related genes;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Low tissue specificity","","Detected in many","20.25 - stomach 1","0.49 - testis","Low tissue specificity","","Detected in all","5.22 - midbrain","2.41 - choroid plexus","Low tissue specificity","","Detected in all","5.22 - tegmentum","1.37 - cerebellum","Low tissue specificity","","Detected in all","5.22 - red nucleus","1.16 - vermis",NA
"ENSG00000101327","PDYN","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted secreted proteins;Protein evidence (Kim et al 2014);Transporters","Tissue enriched","brain","Detected in some","112.47 - brain","0.00 - tongue","Low tissue specificity","","Detected in all","96.65 - hippocampal formation","1.80 - choroid plexus","Low tissue specificity","","Detected in all","96.65 - hippocampal formation","1.38 - cerebellar nucleus","Tissue enhanced","basal amygdala;cervical spinal cord, dorsal horn;corticomedial amygdala;dentate gyrus;dorsomedial nucleus;hippocampus;hippocampus, CA1;hippocampus, CA3;nucleus accumbens;posterior cingulate cortex;retrosplenial cortex","Detected in many","96.65 - hippocampus, CA1","0.99 - median raphe nucleus",NA
"ENSG00000125898","FAM110A","Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014)","Tissue enhanced","skin 1","Detected in many","68.93 - skin 1","0.61 - tongue","Low tissue specificity","","Detected in all","12.56 - thalamus","4.53 - hippocampal formation","Low tissue specificity","","Detected in all","12.56 - dorsal thalamus","3.00 - cerebellar nucleus","Low tissue specificity","","Detected in all","12.56 - ventral posterolateral thalamic nucleus","1.82 - parieto-temporal junction (white matter)",NA
"ENSG00000173404","INSM1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Transcription factors;Transcription factors predicted","Tissue enhanced","brain;pituitary gland","Detected in some","28.51 - pituitary gland","0.00 - parathyroid gland","Tissue enhanced","cerebellum","Detected in many","28.59 - cerebellum","0.44 - choroid plexus","Tissue enhanced","cerebellum","Detected in many","28.59 - cerebellum","0.44 - choroid plexus","Tissue enhanced","cerebellar cortex;flocculonodular lobe;vermis","Detected in many","28.59 - vermis","0.27 - ventral periolivary nuclei",NA
"ENSG00000185982","DEFB128","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Tissue enriched","epididymis","Detected in single","1163.15 - epididymis","0.00 - choroid plexus","Not detected","","Not detected","0.14 - white matter","0.00 - choroid plexus","Not detected","","Not detected","0.14 - cortical white matter","0.00 - epithalamus","Not detected","","Not detected","0.14 - area striata (white matter)","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000125788","DEFB126","Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Tissue enriched","epididymis","Detected in some","1251.15 - epididymis","0.00 - choroid plexus","Not detected","","Not detected","0.05 - white matter","0.00 - choroid plexus","Not detected","","Not detected","0.05 - cortical white matter","0.00 - choroid plexus","Not detected","","Not detected","0.05 - occipital cortex (white matter)","0.00 - angular gyrus (white matter)",NA
"ENSG00000132640","BTBD3","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014)","Tissue enhanced","brain","Detected in all","68.03 - brain","7.53 - liver","Low tissue specificity","","Detected in all","211.94 - cerebral cortex","70.32 - choroid plexus","Low tissue specificity","","Detected in all","211.94 - cingulate cortex","67.45 - Striatum","Low tissue specificity","","Detected in all","211.94 - posterior cingulate cortex","41.13 - ventromedial nucleus",NA
